Q339896	Ajith Kumar
Q466443	Kabhi Khushi Kabhie Gham...
Q1057045	The Kite Runner
Q898721	Hamlet
Q19495	Peterborough United F.C.
Q190192	Dune
Q189588	stomach cancer
Q3632326	BYU Cougars football
Q451603	On Golden Pond
Q1466736	Pollock
Q1399299	Slade School of Fine Art
Q388360	National Treasure: Book of Secrets
Q9301	Serbo-Croatian
Q431611	Ernest Haller
Q170509	Henry James
Q974089	Georges Vanier
Q211415	Edward James Olmos
Q335483	Dundee F.C.
Q80135	Dmitri Shostakovich
Q1194524	Altered States
Q5928	Jimi Hendrix
Q208445	Vallejo
Q1348	Kolkata
Q108072	Monterey County
Q180395	15 Minutes
Q1111228	Color of Night
Q14103	Champagne-Ardenne
Q3984794	Terror in the Aisles
Q70536	Walter Model
Q484418	Nye County
Q459600	Wagga Wagga
Q131981	George II of Great Britain
Q14847067	Into the Woods
Q17856	Ballarat
Q215539	Moscow Conservatory
Q1300012	toy piano
Q787207	29th Academy Awards
Q38119	Daniel Radcliffe
Q1049	Sudan
Q41057	Topeka
Q2131160	Bodyguards and Assassins
Q595595	Shanghai Knights
Q1136370	General Hospital
Q1164	Assam
Q778	Bahamas
Q232000	Butch Cassidy and the Sundance Kid
Q185465	Paula Abdul
Q6895044	multiplayer video game
Q213814	Binghamton
Q785087	The Witches of Eastwick
Q3772	Quentin Tarantino
Q1198132	Wonder Man
Q233546	Jessalyn Gilsig
Q460376	Tony Gaudio
Q23311	City of London
Q56152	Ulster County
Q42800	Belo Horizonte
Q191719	Zooey Deschanel
Q294975	Miranda Otto
Q21208	Hebei
Q44131	Werner Herzog
Q211429	Up in the Air
Q692417	New York Mets
Q2164222	Rollins College
Q160392	Evangeline Lilly
Q1305191	A Midsummer Night's Dream
Q310048	Don DeLillo
Q834	Canton of Valais
Q28218	Baton Rouge
Q648611	Dean Semler
Q1163074	THINKFilm
Q501345	Frederick County
Q759444	Looking for Mr. Goodbar
Q1026939	California State University, Northridge
Q95026	Shirley MacLaine
Q1430048	Florida A&M University
Q8143	1932 Summer Olympics
Q183542	Martin Lawrence
Q1054574	romance film
Q51290	harmonica
Q26807	Prince George's County
Q164813	Perfume: The Story of a Murderer
Q545378	Tullio Pinelli
Q585643	Atco Records
Q15123	Province of Naples
Q465910	Phone Booth
Q2415401	Sister Kenny
Q148669	Ida Lupino
Q25136220	Fences
Q123709	Dundee
Q170322	Qingdao
Q122741	Sega
Q35339	WWE
Q5108046	Chris Sheridan
Q81173	Exeter College
Q210435	J. Edgar Hoover
Q6399436	VJ
Q315087	Garry Marshall
Q467693	Manorama
Q513840	Konyaspor
Q837704	FC Illichivets Mariupol
Q255406	jazz rap
Q216638	Wakefield
Q3531913	Tony Thomas
Q928019	Kill Bill Volume 2
Q193659	James McAvoy
Q1051514	Raja Casablanca
Q905247	MTV Movie Award for Best Comedic Performance
Q165219	Robert Downey Jr.
Q539718	Joel Silver
Q14060	Erwin Rommel
Q2000666	Woodlawn Cemetery
Q2238008	Creed Bratton
Q36236	Malayalam
Q2475741	Nana Patekar
Q312656	Lon Chaney
Q1375077	Tohoku Rakuten Golden Eagles
Q2061772	Hemingway & Gellhorn
Q28891	Wreck-It Ralph
Q769337	A Private Function
Q857001	67th Academy Awards
Q1503830	Introducing Dorothy Dandridge
Q629975	The Tourist
Q1439574	Johnny Belinda
Q7432967	Schulich School of Law
Q48187	Eric Clapton
Q2504576	Sparrow Records
Q176126	Philip Kaufman
Q25456	Royal Canadian Air Force
Q246711	The Gift
Q194223	University of Buenos Aires
Q507994	The Hunt for Red October
Q3785692	Himani Shivpuri
Q2079954	Great Expectations
Q8806	Getafe CF
Q1542326	2003 Grammy Awards
Q1037	Rwanda
Q806116	Banaras Hindu University
Q3718	Dakar
Q274895	8 Women
Q232863	June Allyson
Q268055	Henry V
Q3142	red
Q912437	Damages
Q2321706	Kingston upon Thames
Q230262	plucked string instrument
Q357608	Aditya Chopra
Q889	Afghanistan
Q670897	Arizona State University
Q165141	Swiss national football team
Q582138	Henry & June
Q134773	Forrest Gump
Q193654	short track speed skating
Q784965	Mamelodi Sundowns F.C.
Q56005	Ridley Scott
Q399	Armenia
Q170649	Utah Jazz
Q521387	The Manchurian Candidate
Q2038317	New prog
Q426227	Battle of Passchendaele
Q241482	50 First Dates
Q1323565	Transformers
Q486063	Serj Tankian
Q96	Mexico
Q1473065	Tim Bevan
Q471018	Ernie Hudson
Q798137	Bachelor of Laws
Q355009	Jackson Browne
Q161087	Pirates of the Caribbean: Dead Man's Chest
Q184785	Anne Rice
Q823917	University of Sheffield
Q650865	Tampa Bay Rays
Q634951	Architectural Association School of Architecture
Q279000	South Shields
Q3306	Panama City
Q18604504	Suicide Squad
Q628165	road movie
Q1524124	Morehouse College
Q859369	comedy-drama
Q11739	Lahore
Q4381016	Draco Rosa
Q822146	lyricist
Q455959	Arjen Anthony Lucassen
Q2037	A.C. ChievoVerona
Q297935	Eiko Ishioka
Q981976	Roy Thomas
Q1542296	1993 Grammy Awards
Q4649794	AACTA Award for Best Adapted Screenplay
Q202663	Wyclef Jean
Q2050534	Mohanlal
Q107730	Vince Vaughn
Q497262	End of Watch
Q180268	gospel music
Q974693	Italian American
Q296804	Bernard Herrmann
Q13909	Angelina Jolie
Q1071	geography
Q156353	Placer County
Q1989904	Greenville
Q1277961	Primetime Emmy Award for Outstanding Directing for a Comedy Series
Q486112	Kane County
Q919043	British Columbia Liberal Party
Q913003	Brian Robbins
Q3857162	Grammy Award for Best Instrumental Soloist(s) Performance (with orchestra)
Q922402	Along Came a Spider
Q435034	Georges Delerue
Q267282	RKO Pictures
Q311744	Dennis Lehane
Q17144	Presidential Medal of Freedom
Q319654	LaGuardia Airport
Q852729	Harlow
Q432437	Kathy Griffin
Q14772351	Batman v Superman: Dawn of Justice
Q128186	Saitama Prefecture
Q57147	Michael Fassbender
Q319810	Jonathan Walters
Q43229	organization
Q212991	Santa Rosa
Q34109	Fargo
Q188426	Roy Orbison
Q298255	Rob Zombie
Q852673	Hamilton
Q3521913	The Moon and Sixpence
Q209338	Oxnard
Q280490	Albert S. Ruddy
Q131144	Tom and Jerry
Q18511	Ebbsfleet United F.C.
Q166389	Daniel Day-Lewis
Q158957	Priyanka Chopra Jonas
Q634396	McNeese State University
Q15142	University of Massachusetts Amherst
Q1027063	60th Golden Globe Awards
Q125603	The Clash
Q130627	Pope John Paul II
Q159	Russia
Q242	Belize
Q49212	Texas A&M University
Q218372	Stade Brestois 29
Q837164	Newcastle University
Q521718	Murphy Brown
Q188094	economist
Q388319	Star Trek: Nemesis
Q271426	Pamela Adlon
Q589460	Livingston
Q503034	Los Angeles Film Critics Association Award for Best Actor
Q694243	The Biggest Loser
Q864592	Battle Royale
Q383434	Greater Sudbury
Q1645003	Kaho Naa... Pyaar Hai
Q1337818	Woodland Hills
Q734764	University of New South Wales
Q208590	Kristin Scott Thomas
Q587707	Abraham Lincoln: Vampire Hunter
Q213611	Franz Waxman
Q2340668	music video director
Q1443069	Frank Cavett
Q1111542	Joanne Woodward
Q391028	University of British Columbia
Q4754809	Andre Jacquemetton
Q192506	Vladimir Horowitz
Q1525083	Twelfth Night: Or What You Will
Q236300	Teri Polo
Q6761	Livorno
Q220317	Maxis
Q214665	Nino Rota
Q314926	John Waters
Q5994	piano
Q2735625	Goya Award for Best Spanish Language Foreign Film
Q704700	John Hartford
Q1617794	Tough Guys Don't Dance
Q586735	San Francisco Art Institute
Q2073496	Ray McKinnon
Q195274	Little Women
Q1774629	Irvine
Q284401	Tomokazu Seki
Q220730	The Killers
Q716493	Sol Polito
Q40531	John Wayne
Q310894	Bobby McFerrin
Q22707	TSG 1899 Hoffenheim
Q233862	Pam Grier
Q1472347	Southern Illinois University Carbondale
Q71275	Spencer Tracy
Q222023	The Chronicles of Narnia: Prince Caspian
Q426837	Mortal Kombat: Annihilation
Q79202	New Line Cinema
Q707880	The Brothers Grimm
Q990840	The Brothers Bloom
Q289112	AC Bellinzona
Q962363	Cry Freedom
Q4444	Wanted
Q8012898	UCLA School of Law
Q356480	Jason Roberts
Q1925718	Metro Detroit
Q732733	Asleep at the Wheel
Q344341	Activision Blizzard
Q79980	Varanasi
Q908848	Devo
Q207405	Zsa Zsa Gabor
Q604083	The Informant!
Q270389	news presenter
Q131335	Sioux Falls
Q1188369	First National
Q223374	The Notebook
Q47566	United States presidential election
Q156459	Pierce County
Q436847	Christine Vachon
Q9134	mythology
Q1354081	James Schamus
Q335680	Jimmy Fallon
Q947109	The Island Def Jam Music Group
Q367748	The Fall of the Roman Empire
Q317817	Lloyd Bridges
Q2000624	North Dakota State University
Q584025	Dynasty
Q1143631	Cumann na nGaedheal
Q272220	Los Angeles Chargers
Q895401	Bowdoin College
Q126269	Wolverhampton
Q108283	Alan Arkin
Q15326	alcoholism
Q1125282	Man on the Moon
Q817863	Bennett Miller
Q131725	Joan Baez
Q256884	Thomas Ian Nicholas
Q215366	Portia de Rossi
Q912327	Brian Helgeland
Q327029	mechanic
Q622376	The World of Apu
Q35178	Kuwait City
Q503313	Ordinary People
Q76	Barack Obama
Q9652	1980 Winter Olympics
Q1315008	National Society of Film Critics Award for Best Director
Q272069	Damon Albarn
Q3100500	General Growth Properties
Q24962	Graham Chapman
Q645735	The Illusionist
Q967130	John Michael Higgins
Q58686	Gila County
Q114447	Janel Moloney
Q903354	defensive end
Q1520796	Philippine cuisine
Q945402	William Travilla
Q1929388	Michael Sembello
Q343616	Paul Dano
Q506752	Porter County
Q676094	Drew Barrymore
Q922630	The Ugly Truth
Q208344	Armageddon
Q229603	Charlie's Angels: Full Throttle
Q215258	Richard Rorty
Q716069	Jiang Wen
Q202982	Queen of the Damned
Q1156648	Friday Night Lights
Q4103201	Boyhood
Q1109750	The Patriot
Q48851	AFC Wimbledon
Q175104	Jennifer Love Hewitt
Q55430	Zhang Yimou
Q511731	Imagine Entertainment
Q372073	Jackie Cooper
Q23548	National Aeronautics and Space Administration
Q22272	Santa Barbara
Q275707	Jeri Taylor
Q111098	Rockland County
Q434593	Ron Carter
Q156309	The Fugitive
Q1070763	Johnstown
Q823635	Royal Australian Air Force
Q3403230	Primetime Emmy Award for Outstanding Writing for a Miniseries, Movie or a Dramatic Special
Q1893	Bologna F.C. 1909
Q429397	Lethal Weapon 4
Q20927	Daegu
Q233464	Annie Hall
Q669592	Giant
Q94882	Emir Kusturica
Q2671438	Paul Lieberstein
Q498825	Korean Broadcasting System
Q1125888	The Day of the Dolphin
Q1308	Como
Q37853	baroque
Q23220	Berkshire
Q217619	Anthony Burgess
Q132952	Adam Sandler
Q5885	Tamil
Q928791	Edison, the Man
Q496255	Dial M for Murder
Q239528	Singapore national football team
Q228725	Cynthia Nixon
Q526359	Bob Clark
Q2621011	William Lava
Q269214	John Lasseter
Q211346	psychiatrist
Q1319744	Will Forte
Q1581493	If I Were King
Q1513377	Kettering Town F.C.
Q5891	philosophy
Q1122281	The King of Comedy
Q294641	Martin Landau
Q485561	Butler County
Q931723	Rod Temperton
Q1450	Bruno Mars
Q1117936	Music of the Heart
Q494117	Lehigh County
Q1406	Microsoft Windows
Q854708	Kotch
Q3950969	2011 Toronto International Film Festival
Q40087	Justin Chambers
Q925598	San Angelo
Q311615	Thomas Haden Church
Q804429	Bleach: The DiamondDust Rebellion
Q33881	Tour de France
Q3541116	true crime
Q126334	RC Strasbourg
Q5021556	Call Me Madam
Q192626	Hawaiian Islands
Q80061	Nobel Prize in Physiology or Medicine
Q1099384	Clean
Q426346	Rebel Without a Cause
Q23337	Salt Lake City
Q494917	Virgin Group
Q215733	Warrington
Q104994	Los Angeles County
Q1530455	vocal jazz
Q506446	Rancho Mirage
Q315808	Neil Simon
Q1377738	European Film Award for Best Actress
Q4616	Marilyn Monroe
Q37230	Central Intelligence Agency
Q2293	Chuck
Q446227	Rory Cochrane
Q378567	Japan Academy Prize for Picture of the Year
Q1131556	The Pink Panther
Q3820	Beirut
Q83958	Macedonia
Q173950	art dealer
Q846750	jockey
Q160738	role-playing game
Q1305415	The Scoundrel
Q1551917	Mark Irwin
Q264137	Caroline Records
Q166419	Fox Broadcasting Company
Q388906	hardcore
Q25436	Canadian Army
Q311169	Graham Greene
Q2345220	Road to Utopia
Q179215	Indiana Jones and the Temple of Doom
Q3492779	Grammy Award for Best Contemporary Blues Album
Q555487	Carroll O'Connor
Q1191	Maharashtra
Q43433	Chandigarh
Q1790886	Cuban American
Q952428	David Newman
Q319693	Oscar Hammerstein II
Q16297	William Shatner
Q7429093	Sayaji Shinde
Q257254	Kristine Sutherland
Q311754	Jason Alexander
Q285576	Roma Ryan
Q2128704	Jack Abbott
Q161652	Japanese people
Q38726	Labrador Retriever
Q375855	American Graffiti
Q488874	Hillsborough County
Q91	Abraham Lincoln
Q292061	AFI
Q316857	Jerry Stiller
Q230739	Katie Couric
Q725367	Shanghai Shenhua F.C.
Q810783	Bath Iron Works
Q432362	Antony Sher
Q149086	homicide
Q2165499	Ron W. Miller
Q87	Alexandria
Q696998	National Board of Review Award for Best Director
Q559270	The Twilight Zone
Q43631	Leiden
Q295794	ANTI-
Q298380	Ramón Mercader
Q58735	Lily Allen
Q320592	krautrock
Q138338	New Brunswick
Q629596	Friends with Benefits
Q23365	Jeremy Renner
Q11451	agriculture
Q8023759	Winchell
Q7366852	Rory Albanese
Q842782	detective
Q501014	Marion County
Q192682	Ryan Reynolds
Q783330	Senate of Australia
Q719927	symphonic rock
Q1261578	As the World Turns
Q476921	kidney failure
Q927415	Paul Williams
Q57143	power metal
Q237253	Great Yarmouth
Q370654	Waukesha County
Q71265	Werner Stengel
Q1480421	University of Dhaka
Q2567265	Whoopee!
Q440100	Jonathan Lethem
Q265152	The Shield
Q390989	Pakistan national football team
Q221467	42nd Academy Awards
Q168778	109th United States Congress
Q861640	Jennifer's Body
Q313639	Michael Nyman
Q497928	Atlantic County
Q632753	Babes in Arms
Q163263	Eva Longoria
Q23140	Warwickshire
Q473599	San Juan Jabloteh
Q691685	Kirkcaldy
Q1311379	Trinity University
Q232477	Jacqueline Bisset
Q440313	Milena Canonero
Q212098	Closer
Q272591	Daddy Yankee
Q221109	The Butterfly Effect
Q1150316	Anna Camp
Q193391	diplomat
Q1395430	Himesh Reshammiya
Q360036	Alan Burnett
Q484591	natural history
Q232889	Shirley Henderson
Q40030	Rio Grande do Sul
Q193977	music video
Q2604225	Josh Weinstein
Q9123	Ernest Rutherford
Q16970789	American Sniper
Q1588017	hammered dulcimer
Q233826	Fairuza Balk
Q399647	Red Desert
Q3578133	National Theatre School of Canada
Q160726	Ang Lee
Q391784	Scream 3
Q7542	Prince
Q582965	anti-racism
Q183081	No Country for Old Men
Q170117	FC Ingolstadt 04
Q131814	Tina Turner
Q82104	Ian Fleming
Q11942	ETH Zurich
Q190088	Minato-ku
Q3589	The Manchurian Candidate
Q3711	Belgrade
Q1374481	Garry Shandling
Q71243	Clark Gable
Q957347	Jerry Wald
Q48925	Bristol Rovers F.C.
Q1214977	The Men
Q26424	Calista Flockhart
Q181257	prostate cancer
Q54231	Fairfield County
Q1267987	Malayali
Q1049139	Spy Game
Q1494959	Gary Summers
Q180645	John DeCuir
Q949568	1983 NCAA Division I Men's Basketball Tournament
Q844999	Fashion Institute of Technology
Q240872	Lawrence Kasdan
Q956681	We Bought a Zoo
Q131277	Gifu Prefecture
Q47887	Nijmegen
Q1210832	The Adventures of Baron Munchausen
Q228645	Ashley Judd
Q60029	Oskar Schindler
Q33550	Frederick II of Prussia
Q463673	Regis Philbin
Q784589	Pulitzer Prize for General Non-Fiction
Q129429	Vivien Leigh
Q11617	Aaliyah
Q736834	St. Cloud
Q11023	engineering
Q43203	Clint Eastwood
Q4030	Duke Ellington
Q309160	Alan Bates
Q2400678	Matt Selman
Q922348	Broadcast Film Critics Association Award for Best Supporting Actor
Q42402	Andrea Bocelli
Q11299	Manhattan
Q9068	Voltaire
Q267441	Ben Hecht
Q45240	Monte Carlo
Q2298323	Top Chef
Q467635	multiple myeloma
Q958417	You Don't Mess with the Zohan
Q7416	Margaret Thatcher
Q1144312	passenger car
Q191037	Jim Henson
Q1232912	A Double Life
Q133054	Sylvia Plath
Q1434610	The Racket
Q6496408	Latin Grammy Award for Song of the Year
Q616171	Edward Lachman
Q570481	What Lies Beneath
Q38283	Yokohama
Q495738	Mobile County
Q182923	Stirling
Q1138191	F.C. Ashdod
Q2547946	Lonesome Dove
Q938630	Dropkick Murphys
Q130871	Berlin International Film Festival
Q54145	Medford
Q483251	death metal
Q343037	Trevor Howard
Q4721515	Greg Ayres
Q220698	Ron Perlman
Q304509	MCA Inc.
Q229271	Lily Tomlin
Q286890	Harold Ramis
Q519427	University of Denver
Q381934	Fernando Trueba
Q155647	astrologer
Q192668	Nick Cave
Q1989585	Mauricio Pinilla
Q465636	Doc Watson
Q234693	Bonnie Raitt
Q193338	Danny Elfman
Q6430706	critic
Q230622	Estelle
Q3111264	Pran
Q47822	Bury
Q1800	Kochi
Q5593832	Grammy Award for Best Male Country Vocal Performance
Q133315	Limerick
Q452411	Bootsy Collins
Q254555	Stop! Or My Mom Will Shoot
Q48941	Fleetwood Town F.C.
Q1733	Magdeburg
Q1179599	DePauw University
Q236217	La Vie en Rose
Q5014111	CR Vasco da Gama
Q5816	Mao Zedong
Q983571	Johnny Lever
Q50861	Live Free or Die Hard
Q178598	libertarianism
Q15040917	22 Jump Street
Q179687	cross-country skiing
Q444312	William B. Davis
Q270672	Joan Chen
Q320204	Jeffrey Tambor
Q23	George Washington
Q978520	Written on the Wind
Q3925	Grace Kelly
Q151012	Genesis
Q651196	Hellboy II: The Golden Army
Q54443	Cheshire County
Q52454	International Tennis Hall of Fame
Q18527	Tamworth F.C.
Q126957	Mario Van Peebles
Q484365	David Duchovny
Q295797	Kasper Schmeichel
Q419	Peru
Q167437	The Jackal
Q105993	Die Hard 2
Q457497	Dore Schary
Q447960	Bruce McGill
Q486507	St. Clair County
Q331748	Tommy Lee
Q45761	Hunan
Q3595808	National School of Drama
Q488125	Salinas
Q439438	David Zayas
Q166105	Sacramento Kings
Q2748093	Lori Alan
Q311306	Luther Vandross
Q26702	Cardinal Richelieu
Q110374	Bill Paxton
Q512191	melodica
Q103946	Kiefer Sutherland
Q1045165	Shane
Q579968	University of Missouri
Q864106	Lake Charles
Q7535711	Skip Lievsay
Q543729	MTV Video Music Award for Best Group Video
Q8408	Modena F.C.
Q1195631	The Man with the Golden Arm
Q123829	George Gershwin
Q45772	Christian Bale
Q83279	SpongeBob SquarePants
Q188111	Ayumi Hamasaki
Q1327994	Matador Records
Q192515	Jason Mraz
Q83267	crime
Q4027534	sucrose
Q223429	University of Birmingham
Q18822138	Creed
Q288606	Lake County
Q33521	applied mathematics
Q1136507	electric piano
Q218282	Club Atlético San Lorenzo de Almagro
Q346285	David Arnold
Q318287	Cameron Crowe
Q111774	El Paso County
Q752663	Delft University of Technology
Q9646	1972 Winter Olympics
Q49573	Aya Hisakawa
Q154581	Gangs of New York
Q1046790	Casanova 70
Q995231	Long Branch
Q78	Basel
Q691928	Chakri Dynasty
Q272167	shoegazing
Q2569492	Rock Band 2
Q590701	To Die For
Q351156	Adam West
Q130521	Guangzhou Evergrande Taobao Football Club
Q159232	Santa Cruz
Q215248	Order of the Garter
Q484876	chief executive officer
Q470779	Kinji Fukasaku
Q1800397	Julie Gardner
Q584629	FCU Craiova 1948
Q7737	Russian
Q458629	Billy Elliot
Q1526143	Jules White
Q23404	anthropology
Q841515	Road Trip
Q389336	American Academy of Dramatic Arts
Q230	Georgia
Q213325	Rapid City
Q210460	Bahrain national football team
Q128244	Waco
Q652035	Dumfries
Q1095773	Clark University
Q1068952	St. Elsewhere
Q276523	Batman & Robin
Q2061176	School of American Ballet
Q333156	Power Rangers
Q374254	PFC Beroe Stara Zagora
Q522389	The Vow
Q18523	Newport County A.F.C.
Q33124	Jimmy Van Heusen
Q550196	Spy Kids 3-D: Game Over
Q1193741	WCW Monday Nitro
Q1397914	Fat Possum Records
Q34057	Tagalog
Q1061580	Atari Games
Q165192	Swedes
Q686533	Gods and Monsters
Q248	Intel
Q282722	Trent Reznor
Q7895798	University of Minnesota Law School
Q3856	Nicosia
Q188845	Rain Man
Q129421	University of California, Davis
Q439302	Boaz Myhill
Q51974	Hamburger SV
Q1452656	Freddy Got Fingered
Q146673	Basic Instinct
Q236875	Thora Birch
Q10922	hardcore punk
Q122043	D-fructose (open structure)
Q192114	Jon Lord
Q501476	Hasbro, Inc.
Q193390	New England Patriots
Q3233924	CBS Records
Q83969	House of Hohenzollern
Q1806079	Larry Klein
Q410	Carl Sagan
Q1363909	Bleach: Fade to Black
Q816502	Ben Gibbard
Q244025	Burnaby
Q144190	PFC Levski Sofia
Q190386	Rachel McAdams
Q160560	The Da Vinci Code
Q500304	Those Magnificent Men in their Flying Machines
Q23088	East Riding of Yorkshire
Q3899724	Ashok Kumar
Q1715	Hanover
Q329448	Public Enemies
Q1023208	Club Olimpia Deportivo
Q16987	Nord-Pas-de-Calais
Q426272	The Hurricane
Q31519	Charles University
Q1356753	Stalag 17
Q1649741	1995 Major League Baseball season
Q331728	Larry the Cable Guy
Q893712	Boris Leven
Q299194	Aaron Sorkin
Q429264	West Coast hip hop
Q203013	Ottawa Senators
Q2093794	Vassar College
Q214013	21 Grams
Q268873	Newport Beach
Q6608367	Indiana University
Q202387	post-traumatic stress disorder
Q610339	Antwone Fisher
Q650316	drone music
Q128730	Thirteen Days
Q153987	University of Freiburg
Q170241	Tarzan
Q430464	Dearborn
Q504805	John Varley
Q313466	Michael Chabon
Q1606591	reggae fusion
Q200569	Dutch people
Q491128	Fontana
Q1132978	Coriolanus
Q220140	Travis Barker
Q710766	Arthur J. Nascarella
Q909063	Halloween
Q192762	Darren Aronofsky
Q24680	FC Utrecht
Q477452	Puerto Rico national football team
Q331380	Schenectady
Q3281221	The Aristocrats
Q331397	Oak Park
Q49213	University of Texas at Austin
Q502128	J. T. Walsh
Q200572	I, Robot
Q80524	Indian rupee
Q8060	Romani people
Q69339	Nathaniel Hawthorne
Q1022	Stuttgart
Q270599	Scream 2
Q685000	Dilys Award
Q37068	Romanticism
Q635569	Dead Ringers
Q734974	Greensburg
Q6235	nationalism
Q573484	rocksteady
Q49274	Garland
Q4728320	All-Star Superman
Q1284	Abruzzo
Q220836	Ray Romano
Q95048	Tim Robbins
Q658614	Carmine Coppola
Q83065	Leicester
Q49566	Ayako Kawasumi
Q487556	University of Sydney
Q435681	Ben Folds
Q815352	California State University
Q434766	2008 NFL Draft
Q192786	Italian cuisine
Q318267	Eric Stoltz
Q19865453	13 Hours: The Secret Soldiers of Benghazi
Q2723876	Utpal Dutt
Q44279	Oliver Cromwell
Q685663	electric violin
Q2537765	Wadham College
Q9408	Barnet F.C.
Q16556	Phoenix
Q19089	GoldenEye
Q2117397	Pye Records
Q730491	59th Golden Globe Awards
Q3841639	MTV Movie Award for Most Desirable Female
Q2632	Ringo Starr
Q722038	M.C. Gainey
Q467348	American Zoetrope
Q844837	Southern California
Q311103	Jeff Bennett
Q2120540	The Muppet Show
Q659706	Illinois Institute of Technology
Q1169496	The Life of Birds
Q296484	Cory Monteith
Q1509855	Are We Done Yet?
Q66485	Jaipur
Q497851	Andy Richter
Q1355	Bangalore
Q62621	Canon Inc.
Q290922	Naismith Memorial Basketball Hall of Fame
Q221104	The Cell
Q1152150	DC Universe
Q391343	The Great McGinty
Q497216	Mercer County
Q23239	Amtrak
Q540613	Gene Reynolds
Q55245	Laurence Olivier
Q74195	Menlo Park
Q423208	private school
Q148349	Lambeth
Q280470	Souls at Sea
Q49188	Lynn
Q1075116	Colby College
Q205707	Bradley Cooper
Q63026	The English Patient
Q49109	Bard College
Q291559	AEP Paphos F.C.
Q507861	Donald Ogden Stewart
Q42406	English people
Q21198	computer science
Q212	Ukraine
Q172303	Tyra Banks
Q628	Bergamo
Q526173	Marc Cherry
Q16390	Humphrey Bogart
Q1542371	Single White Female
Q726239	noise music
Q390063	Fantastic Four: Rise of the Silver Surfer
Q43404	Discovery Channel
